date,direction,pnl,outcome,reason,hour,dow,year,month,level,atr
2020-09-29,short,-99.9999999999974,loss,sl,19,1,2020,2020-09,1895.7415,2.291018725685549
2020-09-30,long,-99.99999999999845,loss,sl,7,2,2020,2020-09,1885.3985000000002,2.2881279253195217
2020-09-30,long,137.65206251364185,win,sl,12,2,2020,2020-09,1881.4800000000002,2.4514210183548046
2020-09-30,short,-99.99999999999753,loss,sl,12,2,2020,2020-09,1899.455,3.33207251360258
2020-10-01,short,-100.00000000000293,loss,sl,0,3,2020,2020-10,1886.3465,3.0150012777443433
2020-10-05,short,-100.00000000000323,loss,sl,12,0,2020,2020-10,1909.1249999999998,3.0107531651150503
2020-10-05,short,101.37985388260535,win,sl,23,0,2020,2020-10,1912.7749999999999,2.192674497014282
2020-10-06,long,-100.00000000000338,loss,sl,0,1,2020,2020-10,1911.9914999999999,2.1180968877317095
2020-10-07,short,-100.00000000000182,loss,sl,19,2,2020,2020-10,1887.3484999999998,3.1636630062573086
2020-10-07,short,101.9857788007019,win,sl,22,2,2020,2020-10,1888.8500000000001,2.2079676052631187
2020-10-08,short,-99.99999999999739,loss,sl,1,3,2020,2020-10,1887.3484999999998,2.164434204887186
2020-10-08,short,-99.99999999999679,loss,sl,10,3,2020,2020-10,1894.9215,1.8967553643415767
2020-10-12,long,-100.00000000000202,loss,sl,14,0,2020,2020-10,1922.585,3.0475325269516658
2020-10-12,long,-100.00000000000335,loss,sl,14,0,2020,2020-10,1919.69,3.28778059721856
2020-10-13,long,-99.99999999999804,loss,sl,0,1,2020,2020-10,1919.69,2.7435774294600006
2020-10-13,long,-100.0000000000022,loss,sl,10,1,2020,2020-10,1920.2785,2.700984296362944
2020-10-15,short,108.77271060640292,win,sl,0,3,2020,2020-10,1900.0485,2.576413365311974
2020-10-15,short,103.40835814331977,win,sl,2,3,2020,2020-10,1897.69,2.535765730171463
2020-10-20,short,-99.99999999999645,loss,sl,6,1,2020,2020-10,1903.405,2.4847640658582324
2020-10-20,short,-99.9999999999979,loss,sl,13,1,2020,2020-10,1903.405,2.7436956761035285
2020-10-21,long,-100.00000000000236,loss,sl,7,2,2020,2020-10,1917.3950000000002,2.426185172246221
2020-10-21,long,-100.00000000000186,loss,sl,11,2,2020,2020-10,1917.3950000000002,2.5328254801510846
2020-10-22,long,-100.00000000000063,loss,sl,13,3,2020,2020-10,1904.0635000000002,3.82812491223351
2020-10-26,short,-99.99999999999905,loss,sl,11,0,2020,2020-10,1905.5,2.8950448829425843
2020-10-27,short,-100.00000000000371,loss,sl,1,1,2020,2020-10,1908.66,2.583221534585295
2020-10-27,short,-99.9999999999998,loss,sl,10,1,2020,2020-10,1902.035,2.460550700125855
2020-10-27,long,250.0,win,tp,10,1,2020,2020-10,1898.9865000000002,2.3603983077615784
2020-10-28,long,-99.99999999999866,loss,sl,10,2,2020,2020-10,1898.9865000000002,2.2246554391554425
2020-11-02,short,-100.00000000000225,loss,sl,6,0,2020,2020-11,1885.205,2.386925833492743
2020-11-05,long,250.0,win,tp,5,3,2020,2020-11,1904.3815,3.7445158179806293
2020-11-09,long,250.0,win,tp,1,0,2020,2020-11,1953.64,3.254564958569324
2020-11-09,long,87.87591674877461,win,sl,7,0,2020,2020-11,1953.64,2.8844367991873465
2020-11-10,short,-100.00000000000114,loss,sl,11,1,2020,2020-11,1881.8715000000002,4.904693547020942
2020-11-10,short,-99.99999999999766,loss,sl,12,1,2020,2020-11,1881.8715000000002,4.76935829366232
2020-11-26,short,-99.99999999999491,loss,sl,17,3,2020,2020-11,1811.5465,2.0070428728982845
2020-11-26,short,-99.99999999999707,loss,sl,23,3,2020,2020-11,1811.5465,2.062470640407188
2020-11-29,short,136.100012608209,win,sl,23,6,2020,2020-11,1788.7765000000002,3.559057098958935
2020-12-01,short,-99.99999999999875,loss,sl,5,1,2020,2020-12,1784.5414999999998,3.082437974440192
2020-12-03,short,-100.00000000000068,loss,sl,15,3,2020,2020-12,1836.1934999999999,3.822540923722018
2020-12-07,long,131.1633648318729,win,sl,13,0,2020,2020-12,1830.9225000000001,2.930825766908579
